0,1.7,11,18
1,1.8,10,19
2,1.1,4,16
3,1.26667,5,15
4,1.26667,8,14
5,1.1,6,16
6,1.1,6,13
7,1.6,6,14
8,1.13333,8,15
9,1.16667,5,18
10,1.3,6,15
11,1.56667,7,13
12,1.03333,4,16
13,1.13333,5,17
14,0.966667,4,13
15,1.03333,5,8
16,1.96667,8,10
17,1.36667,5,12
18,1.53333,5,10
19,2.2,6,11
20,2.73333,6,7
21,2.16667,6,6
22,2.5,7,8
23,2.86667,7,8
24,2.56667,6,6
25,3.03333,6,5
26,2.46667,8,5
27,2.33333,8,5
28,2.93333,9,3
29,2.43333,6,2
30,2.96667,8,6
31,2.83333,6,6
32,3.76667,7,3
33,3.33333,8,3
34,2.76667,7,4
35,2.86667,6,5
36,3.26667,8,6
37,3.06667,10,4
38,2.86667,6,3
39,1.9,6,8
40,2.76667,7,5
41,3.73333,9,2
42,2.66667,6,4
43,2.8,6,6
44,3.16667,7,5
45,2.9,8,6
46,2.86667,6,8
47,3.33333,8,2
48,2.63333,8,4
49,2.43333,9,7
50,3.06667,8,7
51,2.26667,8,6
52,2.9,7,9
53,2.8,7,6
54,3.23333,7,5
55,3.33333,7,5
56,3.23333,11,7
57,2.53333,6,2
58,3.06667,8,4
59,2.63333,7,3
60,3.73333,8,7
61,3.03333,8,8
62,2.83333,6,10
63,2.46667,5,6
64,2.96667,6,8
65,2.83333,8,6
66,2.63333,7,6
67,2.5,6,6
68,2.7,7,5
69,3.2,6,5
70,3.06667,8,8
71,3,7,5
72,2.43333,6,5
73,3.4,11,3
74,2.46667,6,7
75,2.86667,5,7
76,2.83333,9,8
77,3.56667,8,5
78,3.33333,8,4
79,3.43333,7,6
80,2.83333,11,6
81,3.63333,12,7
82,3.3,7,5
83,2.96667,7,6
84,3.13333,7,5
85,3.7,8,4
86,2.63333,6,4
87,2.8,8,10
88,2.73333,8,9
89,3.5,10,5
90,2.76667,7,6
91,3.3,8,7
92,2.9,7,8
93,2.66667,7,5
94,2.93333,7,8
95,2.7,7,5
96,2.9,8,6
97,2.76667,10,4
98,2.86667,5,4
99,3.1,8,7
100,2.3,7,7
