0,0.7,4,15
1,0.866667,5,16
2,0.9,4,15
3,0.8,3,14
4,1.3,12,19
5,1.36667,6,13
6,1.1,4,14
7,0.7,3,12
8,0.9,3,10
9,0.633333,3,10
10,0.733333,4,11
11,0.866667,4,9
12,0.466667,4,15
13,0.566667,2,6
14,0.833333,4,9
15,1,7,12
16,0.833333,3,12
17,1.16667,10,10
18,0.9,5,7
19,0.833333,6,12
20,0.733333,5,9
21,0.766667,8,11
22,1.16667,4,11
23,0.866667,5,12
24,0.8,3,14
25,1.3,4,16
26,1.03333,5,15
27,0.966667,7,13
28,0.533333,3,13
29,0.733333,4,14
30,0.733333,5,12
31,0.966667,6,11
32,0.933333,6,12
33,0.866667,7,13
34,0.566667,4,14
35,0.466667,2,11
36,0.8,3,12
37,0.766667,3,12
38,1.23333,4,11
39,1.13333,4,9
40,0.566667,3,14
41,0.833333,6,12
